timestamp,label,git_commit,cpu_freq_mhz,time_s,time_stddev_s,time_cv_pct,cycles,instructions,ipc,cache_miss_pct,branch_misses
20260226_164701,baseline,332dde62838d91d8b5216e9822de58851f2fd64f,2650.000,2.72043,0.00274,0.10,28881962623,91369226285,3.16,,75751540
20260226_164850,baseline,332dde62838d91d8b5216e9822de58851f2fd64f,2650.000,2.71741,0.00321,0.12,28832459771,91354820385,3.17,10.49,75444273
20260226_173732,332dde62,332dde62838d91d8b5216e9822de58851f2fd64f,2650.000,2.71527,0.00292,0.11,28827153991,91342199201,3.17,10.33,75029568
20260226_184505,simd-opt,332dde62838d91d8b5216e9822de58851f2fd64f,2650.000,2.710308,0.000510,0.02,28738515589,90421415262,3.15,10.42,75941151
20260226_194426,alloc-opt,332dde62838d91d8b5216e9822de58851f2fd64f,2650.000,2.70077,0.00177,0.07,28700996113,90411900036,3.15,10.37,75297004
20260226_212120,algo-opt,332dde62838d91d8b5216e9822de58851f2fd64f,2650.000,2.69919,0.00301,0.11,28652543209,90409983979,3.16,9.68,75232659
20260226_221204,cache-opt,332dde62838d91d8b5216e9822de58851f2fd64f,2650.000,2.69658,0.00253,0.09,28652260453,90457103783,3.16,10.61,74994873
20260226_230516,sec5-sec6-combined,332dde62838d91d8b5216e9822de58851f2fd64f,2650.000,2.69376,0.00196,0.07,28647252027,90452362161,3.16,10.62,75149343
20260227_021845,sec9,332dde62838d91d8b5216e9822de58851f2fd64f,2650.000,2.71167,0.00297,0.11,28823035965,90465654030,3.14,10.69,75569282
20260227_021941,sec7,332dde62838d91d8b5216e9822de58851f2fd64f,2650.000,2.61023,0.00275,0.11,27728870777,87816197784,3.17,10.61,75055939
20260227_022034,sec8,332dde62838d91d8b5216e9822de58851f2fd64f,2650.000,2.71434,0.00210,0.08,28851586056,90463664689,3.14,10.20,75754306
20260227_022130,sec7-sec8-sec9-combined,332dde62838d91d8b5216e9822de58851f2fd64f,2650.000,2.60657,0.00355,0.14,27676713675,87807076799,3.17,10.67,74502715
20260227_172155,sec10,332dde62838d91d8b5216e9822de58851f2fd64f,2650.000,2.60288,0.00283,0.11,27661967935,87833094183,3.18,10.13,75324838
20260227_172254,sec11-12,332dde62838d91d8b5216e9822de58851f2fd64f,2650.000,2.59822,0.00197,0.08,27605859669,87841944154,3.18,10.56,75611802
20260227_172348,sec10-sec11-sec12-combined,332dde62838d91d8b5216e9822de58851f2fd64f,2650.000,2.59605,0.00396,0.15,27615618225,87819861782,3.18,10.60,75252718
20260308_230653,baseline-master,332dde62838d91d8b5216e9822de58851f2fd64f,2650.000,2.68722,0.00251,0.09,28531116584,89349167496,3.13,11.36,72203745
20260308_230750,all-optimizations,332dde62838d91d8b5216e9822de58851f2fd64f,2650.000,2.68515,0.00218,0.08,28489684361,89331309309,3.14,10.51,71857797
20260308_230959,optimizations-with-lto,332dde62838d91d8b5216e9822de58851f2fd64f,2650.000,2.64734,0.00229,0.09,28123363063,88726219972,3.15,11.48,72379215
